,,,,,,,,,,,,,,,,,spch snapshot images,,,,,,,,,,,,,,
Age (HAS),DAS,DAS-1,WT Leaf Length (mm),WT Leaf Width (mm),Ln Leaf Width (WT),WT Logistic width,Ln Logistoc width,WT Logistic Length,,Age (HAS),fama Leaf Width (mm),Ln fama leaf width ,Aw,kw,PSTmw,y0w,Age (HAS),Leaf Width (mm),Ln Leaf Width (spch),Blade Length,Blade + Petiole length,Series Name,Date Moved to CER,Time moved to CER,Date Imaged,Time imaged,age at imaging (DAS),DAS-1,Age (HAS),3002_PA Leaf Width,elapsed time (h)
96.88333333,4.036805556,3.036805556,,0.094,-2.36,0.090200401,-2.405721411,0.106940895,,310.50,0.464342,-0.767133929,,,,,102.47,0.10,-2.26,,0.14,TL010_plantA,26/06/2012,16:30:00,08/07/2012,13:52,12,11,285.37,,99:50:00
97.8,4.075,3.075,,0.067,-2.70,0.09184378,-2.387666193,0.108995602,,310.50,0.488596,-0.716219307,,,,,102.73,0.12,-2.13,,0.16,TL014_plantA,26/06/2012,16:30:00,12/07/2012,21:48,16,15,389.30,,203:46:00
100,4.166666667,3.166666667,0.08,0.08,-2.49,0.09590909,-2.344354515,0.114087441,,310.50,0.583874,-0.538070073,,,,,122.13,0.11,-2.22,,0.14,,,,,,,,,,
100,4.166666667,3.166666667,0.09,0.08,-2.48,0.09590909,-2.344354515,0.114087441,,310.50,0.362181,-1.015611192,,,,,122.25,0.11,-2.17,,0.15,Series Name,Date Moved to CER,Time moved to CER,Date Imaged,Time imaged,age at imaging (DAS),DAS-1,Age (HAS),2976 P3 Leaf Width,elapsed time (h)
100,4.166666667,3.166666667,0.08,0.08,-2.48,0.09590909,-2.344354515,0.114087441,,310.50,0.420774,-0.865659407,,,,,122.75,0.07,-2.66,,0.12,TL01,06/06/2012,16:30:00,12/06/2012,11:50:00,6,5,139.33,0.063,0.00
100,4.166666667,3.166666667,0.14,0.11,-2.25,0.09590909,-2.344354515,0.114087441,,310.50,0.378469,-0.971621112,,,,,123.15,0.10,-2.35,,0.16,TL02,06/06/2012,16:30:00,13/06/2012,09:45:00,7,6,161.25,0.09,21:55:00
100,4.166666667,3.166666667,0.10,0.09,-2.45,0.09590909,-2.344354515,0.114087441,,335.25,0.780597,-0.247696267,,,,,123.55,0.10,-2.35,,0.15,TL03,06/06/2012,16:30:00,14/06/2012,10:45:00,8,7,186.25,0.172,46:55:00
100,4.166666667,3.166666667,0.12,0.09,-2.42,0.09590909,-2.344354515,0.114087441,,335.25,0.764895,-0.268016709,,,,,123.75,0.11,-2.20,,0.15,Tl04,06/06/2012,16:30:00,15/06/2012,11:18:00,9,8,210.80,0.272,71:28:00
100,4.166666667,3.166666667,0.09,0.09,-2.44,0.09590909,-2.344354515,0.114087441,,335.25,0.734468,-0.308608851,,,,,124.02,0.13,-2.04,,0.17,TL05,06/06/2012,16:30:00,16/06/2012,12:17:00,10,9,235.78,0.39,96:27:00
118.1,4.920833333,3.920833333,,0.130,-2.04,0.13679075,-1.989302893,0.165923546,,335.25,0.73403,-0.309205379,,,,,124.33,0.09,-2.40,,0.13,TL06,06/06/2012,16:30:00,17/06/2012,14:00:00,11,10,261.50,0.499,122:10:00
118.65,4.94375,3.94375,,0.123,-2.10,0.138268888,-1.978555028,0.167817024,,335.25,0.908548,-0.095907558,,,,,124.45,0.08,-2.50,,0.13,TL07,06/06/2012,16:30:00,18/06/2012,10:30:00,12,11,282.00,0.578,142:40:00
