realtime,LeafArea,LeafWidth,LeafLength,late,plam,numberOfCells,meanCellArea,numberOfCellInCDIV,meanCellAreaInCDIV,cellAreaInCDIV,numberOfCellOutCDIV,meanCellAreaOutCDIV,cellAreaOutCDIV
113,0.022478,0.14527,0.15266,0,0.0235,224,0.00010028,224,0.00010028,0.022462,0,NaN,0
114,0.023518,0.14847,0.15632,0,0.0235,232,0.00010142,156,0.00010011,0.015617,76,0.00010411,0.0079125
115,0.024608,0.15175,0.16007,0,0.0235,235,0.00010488,159,0.00010347,0.016451,76,0.00010783,0.0081949
116,0.025742,0.15514,0.16385,0,0.0235,238,0.00010834,162,0.00010682,0.017305,76,0.00011157,0.0084796
117,0.02694,0.15858,0.16781,0,0.0235,241,0.00011198,165,0.00011037,0.01821,76,0.00011547,0.0087761
118,0.028198,0.16211,0.17188,0,0.0235,246,0.00011477,170,0.00011262,0.019145,76,0.00011958,0.0090877
119,0.029517,0.16572,0.17605,0,0.0235,253,0.00011678,177,0.00011378,0.020138,76,0.00012377,0.0094066
120,0.030902,0.16943,0.18034,0,0.0235,257,0.00012038,181,0.00011714,0.021201,76,0.00012812,0.0097372
121,0.032355,0.17323,0.18475,0,0.0235,265,0.00012214,187,0.00011824,0.022111,78,0.00013148,0.010255
122,0.03388,0.17711,0.18928,0,0.0235,267,0.0001271,189,0.00012335,0.023312,78,0.00013618,0.010622
123,0.035481,0.18109,0.19393,0,0.0235,271,0.00013108,193,0.00012704,0.024518,78,0.00014109,0.011005
124,0.037161,0.18517,0.19871,0,0.0235,276,0.00013476,197,0.00013063,0.025734,79,0.00014507,0.01146
125,0.038925,0.18935,0.20362,0,0.0235,282,0.00013817,203,0.00013344,0.027089,79,0.00015032,0.011875
126,0.040761,0.19367,0.20855,0,0.0235,289,0.00014115,209,0.00013595,0.028414,80,0.00015472,0.012377
127,0.042704,0.19805,0.21374,0,0.0235,303,0.00014083,221,0.00013433,0.029687,82,0.00015834,0.012983
128,0.044745,0.20255,0.21906,0,0.0235,309,0.00014484,227,0.00013787,0.031297,82,0.00016414,0.013459
129,0.046888,0.20716,0.22455,0,0.0235,325,0.00014415,243,0.0001354,0.032902,82,0.00017008,0.013947
130,0.049118,0.21195,0.23004,0,0.0235,332,0.00014798,249,0.00013892,0.03459,83,0.00017515,0.014537
131,0.051481,0.21679,0.23583,0,0.0235,339,0.0001519,256,0.00014229,0.036427,83,0.00018152,0.015066
132,0.053941,0.22181,0.24163,0,0.0235,354,0.00015225,270,0.00014149,0.038201,84,0.00018684,0.015694
133,0.056547,0.2269,0.24773,0,0.0235,366,0.00015442,281,0.00014301,0.040187,85,0.00019212,0.01633
134,0.059286,0.23212,0.254,0,0.0235,380,0.00015592,295,0.00014343,0.042312,85,0.00019925,0.016936
135,0.062137,0.23753,0.26029,0,0.0235,396,0.00015672,311,0.00014311,0.044507,85,0.00020653,0.017555
136,0.065158,0.243,0.26692,0,0.0235,406,0.00016043,321,0.00014622,0.046935,85,0.00021413,0.018201
137,0.068305,0.24867,0.27357,0,0.0235,420,0.0001625,335,0.00014741,0.049384,85,0.00022198,0.018869
138,0.071641,0.25441,0.28058,0,0.0235,438,0.00016331,353,0.00014721,0.051966,85,0.00023017,0.019565
139,0.075114,0.26038,0.2876,0,0.0235,455,0.00016499,369,0.00014818,0.054679,86,0.00023713,0.020393
140,0.078797,0.26641,0.29503,0,0.0235,474,0.00016606,387,0.00014835,0.057412,87,0.00024485,0.021302
141,0.082633,0.2727,0.30246,0,0.0235,490,0.00016843,403,0.00014996,0.060434,87,0.00025398,0.022096
142,0.086701,0.27905,0.31031,0,0.0235,511,0.00016939,424,0.00015006,0.063625,87,0.00026361,0.022934
143,0.090939,0.28566,0.31816,0,0.0235,538,0.00016861,449,0.00014869,0.066762,89,0.00026913,0.023952
144,0.095434,0.29233,0.32643,0,0.0235,556,0.00017147,467,0.00015093,0.070484,89,0.00027923,0.024851
145,0.10012,0.29928,0.3347,0,0.0235,586,0.00017049,497,0.00014915,0.074127,89,0.00028968,0.025781
146,0.10509,0.30631,0.34343,0,0.0235,617,0.00016993,526,0.00014813,0.077915,91,0.00029597,0.026933
147,0.11026,0.31361,0.35218,0,0.0235,642,0.00017147,551,0.00014905,0.082128,91,0.00030719,0.027955
148,0.11576,0.32099,0.36142,0,0.0235,668,0.00017304,577,0.00015005,0.086578,91,0.00031885,0.029016
149,0.12154,0.32859,0.37088,0.0048,0.0235,692,0.0001753,600,0.00015185,0.091107,92,0.00032829,0.030203
150,0.12756,0.33646,0.38038,0.0096,0.0235,726,0.00017531,634,0.0001513,0.095927,92,0.00034071,0.031345
151,0.13392,0.34447,0.39031,0.0144,0.0235,754,0.00017726,662,0.00015275,0.10112,92,0.00035361,0.032532
152,0.14054,0.35277,0.40022,0.0192,0.0235,781,0.00017957,689,0.00015455,0.10648,92,0.00036694,0.033759
153,0.14743,0.36136,0.41015,0.024,0.0235,814,0.00018065,722,0.00015516,0.11202,92,0.00038072,0.035026
154,0.15472,0.37004,0.42064,0.0288,0.0235,857,0.00017993,765,0.00015405,0.11785,92,0.00039508,0.036348
155,0.16231,0.37908,0.43105,0.0336,0.0235,886,0.00018276,794,0.00015645,0.12422,92,0.00040989,0.03771
156,0.17021,0.38844,0.44148,0.0384,0.0235,918,0.00018493,826,0.00015817,0.13065,92,0.0004252,0.039118
157,0.17856,0.39796,0.45239,0.0432,0.0235,956,0.00018631,864,0.00015918,0.13753,92,0.00044112,0.040583
158,0.18725,0.40781,0.4633,0.048,0.0235,993,0.00018812,901,0.00016061,0.14471,92,0.00045754,0.042094
159,0.1963,0.41799,0.47423,0.0528,0.0235,1036,0.00018905,944,0.00016123,0.1522,92,0.00047448,0.043653
160,0.20586,0.42835,0.48567,0.0576,0.0235,1078,0.00019051,986,0.00016237,0.1601,92,0.00049204,0.045268
161,0.2158,0.43905,0.4971,0.0624,0.0235,1125,0.00019137,1015,0.00016228,0.16471,110,0.00045987,0.050585
162,0.22614,0.45011,0.50855,0.0672,0.0235,1167,0.00019334,1032,0.00016261,0.16782,135,0.00042821,0.057808
163,0.23706,0.4614,0.5205,0.072,0.0235,1216,0.00019447,1048,0.00016139,0.16913,168,0.00040081,0.067337
164,0.24839,0.473,0.53246,0.0768,0.0235,1256,0.00019737,930,0.00013537,0.12589,326,0.00037426,0.12201
165,0.26021,0.48503,0.54445,0.0816,0.0235,1298,0.00020008,950,0.00013465,0.12791,348,0.0003787,0.13179
166,0.2725,0.49747,0.55647,0.0864,0.0235,1338,0.00020328,967,0.00013511,0.13065,371,0.00038098,0.14134
167,0.28529,0.5103,0.56853,0.0912,0.0235,1378,0.0002067,985,0.00013557,0.13353,393,0.000385,0.15131
168,0.29887,0.52316,0.58151,0.096,0.0235,1425,0.00020936,1006,0.00013411,0.13491,419,0.00039002,0.16342
169,0.31299,0.53657,0.59439,0.1008,0.0235,1477,0.00021151,1038,0.00013302,0.13808,439,0.00039708,0.17432
