,,,,,,,,,,,,
Age (HAS),DAS,DAS-1,WT Leaf Length (mm),WT Leaf Width (mm),Ln Leaf Width (WT),WT Logistic width,Ln Logistoc width,WT Logistic Length,,Age (HAS),fama Leaf Width (mm),Ln fama leaf width 
174.17,7.256944444,6.256944444,0.55,0.42,-0.86,0.400893439,-0.914059624,0.518246212,,431.00,1.695587,0.528028994
174.72,7.279861111,6.279861111,0.56,0.37,-0.99,0.405028283,-0.90379838,0.523934623,,479.50,0.720553,-0.327736306
174.85,7.285416667,6.285416667,0.59,0.47,-0.76,0.40603661,-0.90131195,0.52532246,,479.50,0.839633,-0.174790387
192.22,8.009027778,7.009027778,1.15,0.82,-0.20,0.558950327,-0.58169467,0.738534941,,479.50,1.461156,0.379227903
192.40,8.016666667,7.016666667,0.73,0.46,-0.78,0.56081166,-0.578370152,0.741161523,,527.50,0.700276,-0.356280736
192.58,8.024305556,7.024305556,0.80,0.57,-0.56,0.562678549,-0.575046774,0.743796653,,527.50,1.169933,0.156946482
192.72,8.029861111,7.029861111,0.70,0.52,-0.65,0.564039785,-0.572630489,0.745718494,,527.50,0.606266,-0.500436445
192.85,8.035416667,7.035416667,0.70,0.50,-0.70,0.565403971,-0.57021481,0.747644876,,527.50,0.722797,-0.324626871
214.68,8.945138889,7.945138889,0.66,0.50,-0.69,0.832053943,-0.183858005,1.130783019,,,,
215.33,8.972222222,7.972222222,1.51,1.19,0.17,0.841414468,-0.172670913,1.144451828,,,,
215.92,8.996527778,7.996527778,1.67,1.41,0.34,0.849889822,-0.162648559,1.15683989,,,,
216.62,9.025694444,8.025694444,0.86,0.71,-0.35,0.860154212,-0.15064359,1.171857855,,,,
216.90,9.0375,8.0375,1.69,1.16,0.15,0.864338102,-0.145791266,1.177984031,,,,
217.48,9.061805556,8.061805556,1.67,1.41,0.34,0.873005283,-0.135813671,1.190683337,,,,
218.67,9.111111111,8.111111111,1.38,1.17,0.16,0.890808733,-0.11562554,1.216805204,,,,
219.82,9.159027778,8.159027778,1.16,1.08,0.07,0.908396859,-0.096073927,1.242658119,,,,
220.18,9.174305556,8.174305556,1.20,0.99,-0.01,0.914064339,-0.089854317,1.250998642,,,,
221.05,9.210416667,8.210416667,0.96,0.77,-0.27,0.927575496,-0.075181091,1.270901477,,,,
221.30,9.220833333,8.220833333,1.36,0.98,-0.02,0.931503151,-0.070955706,1.276692225,,,,
221.43,9.226388889,8.226388889,1.11,0.86,-0.15,0.933603446,-0.068703507,1.279789728,,,,
240,10,9,1.47,1.25,0.22,1.264909761,0.235000784,1.775954833,,,,
240,10,9,1.60,1.23,0.21,1.264909761,0.235000784,1.775954833,,,,
240,10,9,2.62,2.10,0.74,1.264909761,0.235000784,1.775954833,,,,
247.32,10.30486111,9.304861111,1.87,1.82,0.60,1.41715714,0.348652851,2.008548894,,,,
247.43,10.30972222,9.309722222,2.25,1.92,0.65,1.419684375,0.350434576,2.012432165,,,,
247.58,10.31597222,9.315972222,2.55,1.98,0.68,1.422938245,0.352723921,2.017433006,,,,
265.80,11.075,10.075,1.70,1.34,0.29,1.855023186,0.617897195,2.691255362,,,,
266.30,11.09583333,10.09583333,2.79,2.48,0.91,1.867862627,0.624794797,2.711554285,,,,
266.43,11.10138889,10.10138889,3.01,2.40,0.87,1.871294692,0.62663054,2.716982835,,,,
266.53,11.10555556,10.10555556,2.98,2.39,0.87,1.873871002,0.628006346,2.721058519,,,,
266.70,11.1125,10.1125,3.20,2.46,0.90,1.87816915,0.630297446,2.727859452,,,,
266.82,11.11736111,10.11736111,4.17,2.85,1.05,1.881181044,0.631899794,2.732626141,,,,
288.47,12.01944444,11.01944444,3.25,2.08,0.73,2.479324593,0.907986182,3.693959326,,,,
293.08,12.21180556,11.21180556,4.48,3.49,1.25,2.614640735,0.961126702,3.915043968,,,,
293.28,12.22013889,11.22013889,5.38,3.34,1.21,2.620543242,0.963381641,3.924714309,,,,
293.38,12.22430556,11.22430556,4.17,2.94,1.08,2.623495619,0.964507634,3.929552132,,,,
293.48,12.22847222,11.22847222,4.94,3.31,1.20,2.626448737,0.965632644,3.934391709,,,,
294.33,12.26388889,11.26388889,2.78,2.31,0.84,2.651579365,0.975155449,3.975597605,,,,
294.43,12.26805556,11.26805556,2.15,1.88,0.63,2.654539242,0.976271096,3.98045337,,,,
294.57,12.27361111,11.27361111,3.27,2.34,0.85,2.658486804,0.97775709,3.986930291,,,,
294.65,12.27708333,11.27708333,4.69,3.19,1.16,2.66095464,0.978684946,3.990979848,,,,
316.53,13.18888889,12.18888889,3.97,2.39,0.87,3.314836478,1.198408295,5.075339815,,,,
316.65,13.19375,12.19375,5.09,3.17,1.15,3.318297506,1.199451852,5.081130779,,,,
316.77,13.19861111,12.19861111,5.74,3.32,1.20,3.321757676,1.200494063,5.086920754,,,,
316.88,13.20347222,12.20347222,3.52,2.31,0.84,3.325216981,1.201534929,5.092709723,,,,
317.00,13.20833333,12.20833333,5.49,3.58,1.28,3.328675411,1.20257445,5.098497669,,,,
317.12,13.21319444,12.21319444,4.75,3.04,1.11,3.332132956,1.203612626,5.104284574,,,,
317.52,13.22986111,12.22986111,5.00,2.99,1.09,3.343980564,1.207161883,5.124117261,,,,
340.43,14.18472222,13.18472222,6.87,3.91,1.36,3.994021527,1.384798625,6.218224867,,,,
340.55,14.18958333,13.18958333,5.06,3.33,1.20,3.997136069,1.385578122,6.223485683,,,,
340.63,14.19305556,13.19305556,6.65,3.84,1.35,3.999359264,1.386134164,6.227240962,,,,
340.68,14.19513889,13.19513889,6.99,4.15,1.42,4.000692588,1.386467493,6.229493149,,,,
340.77,14.19861111,13.19861111,6.41,3.93,1.37,4.002913808,1.387022548,6.233245158,,,,
340.87,14.20277778,13.20277778,5.22,3.30,1.19,4.005577637,1.387687799,6.237744861,,,,
362.03,15.08472222,14.08472222,7.04,3.99,1.38,4.524674132,1.50954556,7.114453178,,,,
362.22,15.09236111,14.09236111,3.85,2.48,0.91,4.528749722,1.510445902,7.121324655,,,,
362.28,15.09513889,14.09513889,4.52,2.95,1.08,4.530229869,1.510772682,7.123820103,,,,
362.35,15.09791667,14.09791667,5.99,3.75,1.32,4.531709009,1.511099133,7.126313806,,,,
362.43,15.10138889,14.10138889,6.23,4.20,1.44,4.533556519,1.511506735,7.129428479,,,,
362.48,15.10347222,14.10347222,5.16,4.09,1.41,4.53466427,1.51175105,7.131295973,,,,
366.62,15.27569444,14.27569444,8.53,5.42,1.69,4.624269271,1.531318363,7.28225559,,,,
366.68,15.27847222,14.27847222,6.90,4.27,1.45,4.625682482,1.531623924,7.284634728,,,,
366.72,15.27986111,14.27986111,7.13,4.59,1.52,4.626388705,1.531776587,7.285823631,,,,
366.75,15.28125,14.28125,6.08,4.15,1.42,4.627094673,1.531929171,7.28701209,,,,
366.78,15.28263889,14.28263889,6.21,4.43,1.49,4.627800386,1.532081677,7.288200105,,,,
366.82,15.28402778,14.28402778,6.29,3.80,1.34,4.628505844,1.532234104,7.289387675,,,,
366.87,15.28611111,14.28611111,6.53,4.46,1.49,4.629563551,1.532462598,7.291168197,,,,
386.98,16.12430556,15.12430556,6.36,4.02,1.39,5.008494924,1.611135456,7.926159753,,,,
387.03,16.12638889,15.12638889,7.25,4.38,1.48,5.009322305,1.611300637,7.92753803,,,,
387.08,16.12847222,15.12847222,7.87,4.56,1.52,5.010149132,1.611465681,7.92891534,,,,
387.12,16.12986111,15.12986111,6.75,4.41,1.48,5.010700042,1.611575634,7.929833009,,,,
387.15,16.13125,15.13125,7.46,4.73,1.55,5.011250706,1.611685526,7.930750248,,,,
414.20,17.25833333,16.25833333,6.02,3.98,1.38,5.381818775,1.683026379,8.542256085,,,,
414.23,17.25972222,16.25972222,8.44,5.55,1.71,5.382188337,1.683095046,8.542858748,,,,
414.27,17.26111111,16.26111111,7.17,4.93,1.60,5.382557704,1.683163671,8.543461075,,,,
414.30,17.2625,16.2625,5.78,3.90,1.36,5.382926875,1.683232255,8.544063066,,,,
414.35,17.26458333,16.26458333,7.44,4.76,1.56,5.383480265,1.683335054,8.54496542,,,,
414.38,17.26597222,16.26597222,6.92,4.91,1.59,5.383848948,1.683403536,8.54556657,,,,
414.42,17.26736111,16.26736111,8.41,5.31,1.67,5.384217435,1.683471977,8.546167383,,,,
435.07,18.12777778,17.12777778,8.19,5.49,1.70,5.577903118,1.71881292,8.859143616,,,,
435.13,18.13055556,17.13055556,9.33,5.62,1.73,5.578426022,1.718906662,8.859979785,,,,
435.15,18.13125,17.13125,7.80,4.42,1.49,5.578556654,1.718930079,8.860188669,,,,
435.20,18.13333333,17.13333333,8.45,5.37,1.68,5.578948327,1.719000287,8.860814941,,,,
435.23,18.13472222,17.13472222,8.11,5.18,1.64,5.579209255,1.719047056,8.86123214,,,,
435.27,18.13611111,17.13611111,6.05,4.38,1.48,5.579470033,1.719093796,8.861649086,,,,
