realtime,LeafArea,LeafWidth,LeafLength,late,plam,numberOfCells,meanCellArea,numberOfCellInCDIV,meanCellAreaInCDIV,cellAreaInCDIV,numberOfCellOutCDIV,meanCellAreaOutCDIV,cellAreaOutCDIV
66,0.0072216,0.084,0,0.0235,116,6.2366e-05,0,NaN,0,116,6.2366e-05,0.0072345
86,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
86,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
87,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
87,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
88,0.0075334,0.085728,0.086279,0,0.0235,119,6.3373e-05,119,6.3373e-05,0.0075414,0,NaN,0
89,0.0078596,0.087498,0.088201,0,0.0235,119,6.617e-05,119,6.617e-05,0.0078742,0,NaN,0
90,0.0082008,0.089307,0.090175,0,0.0235,119,6.9043e-05,119,6.9043e-05,0.0082161,0,NaN,0
91,0.0085578,0.091157,0.092201,0,0.0235,120,7.1441e-05,120,7.1441e-05,0.0085729,0,NaN,0
92,0.0089314,0.093051,0.094278,0,0.0235,121,7.3939e-05,121,7.3939e-05,0.0089466,0,NaN,0
93,0.0093222,0.094989,0.096408,0,0.0235,121,7.719e-05,121,7.719e-05,0.00934,0,NaN,0
94,0.0097313,0.096973,0.098593,0,0.0235,125,7.792e-05,125,7.792e-05,0.00974,0,NaN,0
95,0.01016,0.099009,0.10083,0,0.0235,127,8.0135e-05,127,8.0135e-05,0.010177,0,NaN,0
96,0.010608,0.10109,0.10313,0,0.0235,129,8.2359e-05,129,8.2359e-05,0.010624,0,NaN,0
97,0.011077,0.10322,0.10549,0,0.0235,132,8.406e-05,132,8.406e-05,0.011096,0,NaN,0
98,0.011569,0.1054,0.1079,0,0.0235,138,8.3934e-05,138,8.3934e-05,0.011583,0,NaN,0
99,0.012083,0.10763,0.11038,0,0.0235,141,8.5838e-05,141,8.5838e-05,0.012103,0,NaN,0
100,0.012622,0.10992,0.11292,0,0.0235,143,8.8483e-05,143,8.8483e-05,0.012653,0,NaN,0
101,0.013187,0.11227,0.11553,0,0.0235,144,9.1854e-05,144,9.1854e-05,0.013227,0,NaN,0
102,0.013778,0.11467,0.1182,0,0.0235,148,9.3243e-05,148,9.3243e-05,0.0138,0,NaN,0
103,0.014397,0.11712,0.12095,0,0.0235,153,9.4245e-05,153,9.4245e-05,0.014419,0,NaN,0
104,0.015046,0.11963,0.12377,0,0.0235,157,9.6037e-05,157,9.6037e-05,0.015078,0,NaN,0
105,0.015726,0.12222,0.12666,0,0.0235,166,9.4776e-05,166,9.4776e-05,0.015733,0,NaN,0
106,0.016433,0.12488,0.12957,0,0.0235,168,9.7984e-05,168,9.7984e-05,0.016461,0,NaN,0
107,0.01718,0.12759,0.13261,0,0.0235,173,9.9467e-05,173,9.9467e-05,0.017208,0,NaN,0
108,0.017962,0.13036,0.13574,0,0.0235,181,9.9355e-05,181,9.9355e-05,0.017983,0,NaN,0
109,0.018782,0.1332,0.13895,0,0.0235,189,9.9493e-05,189,9.9493e-05,0.018804,0,NaN,0
110,0.019642,0.13611,0.14224,0,0.0235,198,9.9308e-05,198,9.9308e-05,0.019663,0,NaN,0
111,0.020543,0.13909,0.14562,0,0.0235,206,9.9811e-05,206,9.9811e-05,0.020561,0,NaN,0
112,0.021488,0.14213,0.14909,0,0.0235,214,0.00010056,214,0.00010056,0.021519,0,NaN,0
113,0.022479,0.14525,0.15265,0,0.0235,224,0.00010055,224,0.00010055,0.022522,0,NaN,0
114,0.023518,0.14845,0.15631,0,0.0235,234,0.00010064,149,0.00010504,0.01565,85,9.2932e-05,0.0078992
115,0.024608,0.15173,0.16006,0,0.0235,237,0.0001041,152,0.00010846,0.016485,85,9.6324e-05,0.0081876
116,0.025752,0.15509,0.16392,0,0.0235,241,0.00010709,156,0.00011113,0.017336,85,9.9687e-05,0.0084734
117,0.026941,0.15856,0.1678,0,0.0235,245,0.00011027,159,0.00011431,0.018176,86,0.00010278,0.0088391
118,0.028199,0.16209,0.17187,0,0.0235,248,0.00011402,162,0.00011805,0.019125,86,0.00010641,0.0091516
119,0.029519,0.16571,0.17604,0,0.0235,258,0.00011457,172,0.00011677,0.020085,86,0.00011016,0.0094734
120,0.030903,0.16941,0.18033,0,0.0235,262,0.00011826,176,0.00012032,0.021176,86,0.00011404,0.0098072
121,0.032344,0.17325,0.18464,0,0.0235,267,0.00012143,179,0.00012366,0.022135,88,0.00011689,0.010286
122,0.033869,0.17713,0.18916,0,0.0235,273,0.00012428,185,0.00012581,0.023275,88,0.00012107,0.010654
123,0.035455,0.18116,0.19371,0,0.0235,280,0.00012683,191,0.00012782,0.024414,89,0.00012471,0.0111
124,0.037135,0.18524,0.19848,0,0.0235,285,0.00013054,196,0.00013116,0.025707,89,0.00012919,0.011498
125,0.038897,0.18941,0.20338,0,0.0235,290,0.00013437,201,0.00013461,0.027057,89,0.00013382,0.01191
126,0.040748,0.19369,0.20842,0,0.0235,304,0.00013401,215,0.0001321,0.028402,89,0.00013861,0.012337
127,0.04269,0.19807,0.21361,0,0.0235,314,0.00013603,224,0.00013313,0.029822,90,0.00014323,0.01289
128,0.04473,0.20257,0.21893,0,0.0235,319,0.00014043,229,0.00013729,0.031439,90,0.00014843,0.013359
129,0.046873,0.20719,0.2244,0,0.0235,326,0.00014396,235,0.00014045,0.033005,91,0.00015302,0.013925
130,0.049102,0.21198,0.22989,0,0.0235,335,0.00014671,243,0.00014252,0.034631,92,0.00015779,0.014516
131,0.051464,0.21682,0.23567,0,0.0235,342,0.00015061,250,0.00014585,0.036463,92,0.00016355,0.015046
132,0.053923,0.22185,0.24146,0,0.0235,349,0.00015464,257,0.00014931,0.038373,92,0.00016952,0.015596
133,0.056529,0.22694,0.24756,0,0.0235,360,0.00015701,268,0.0001506,0.04036,92,0.00017571,0.016165
134,0.059241,0.23221,0.25367,0,0.0235,382,0.00015488,288,0.0001465,0.042191,94,0.00018056,0.016972
135,0.062115,0.23754,0.26013,0,0.0235,395,0.00015723,300,0.00014802,0.044406,95,0.00018632,0.0177
136,0.065135,0.24301,0.26676,0,0.0235,404,0.00016127,309,0.00015143,0.046791,95,0.00019329,0.018362
137,0.06828,0.24868,0.2734,0,0.0235,421,0.00016211,326,0.00015095,0.04921,95,0.00020039,0.019037
138,0.071615,0.25443,0.2804,0,0.0235,439,0.00016302,344,0.00015066,0.051825,95,0.00020781,0.019742
139,0.075117,0.2603,0.28763,0,0.0235,457,0.00016428,361,0.000151,0.054511,96,0.00021422,0.020566
140,0.078765,0.26642,0.29485,0,0.0235,475,0.00016574,377,0.0001519,0.057265,98,0.00021898,0.02146
141,0.082635,0.27263,0.30247,0,0.0235,489,0.00016889,391,0.00015427,0.060319,98,0.00022722,0.022268
142,0.086666,0.27907,0.3101,0,0.0235,503,0.0001722,405,0.00015683,0.063514,98,0.00023574,0.023102
143,0.090942,0.28559,0.31816,0,0.0235,534,0.00017005,435,0.00015347,0.06676,99,0.00024291,0.024048
144,0.095396,0.29237,0.32621,0,0.0235,554,0.00017199,455,0.00015459,0.070337,99,0.00025199,0.024947
145,0.10012,0.29919,0.33473,0,0.0235,592,0.00016879,492,0.00015031,0.073955,100,0.0002597,0.02597
146,0.10504,0.30631,0.34323,0,0.0235,613,0.00017122,513,0.00015205,0.078002,100,0.00026953,0.026953
147,0.11027,0.3135,0.35222,0,0.0235,645,0.00017061,545,0.00015059,0.082072,100,0.00027972,0.027972
148,0.11571,0.32099,0.3612,0,0.0235,672,0.00017208,572,0.00015142,0.086609,100,0.00029026,0.029026
149,0.11974,0.32631,0.36782,0.0048,0.0235,705,0.00016948,605,0.00014825,0.08969,100,0.00029793,0.029793
150,0.12389,0.33176,0.37446,0.0096,0.0235,724,0.00017096,624,0.00014935,0.093196,100,0.00030579,0.030579
151,0.12815,0.33734,0.38111,0.0144,0.0235,751,0.00017037,651,0.00014834,0.096568,100,0.00031383,0.031383
152,0.13259,0.34295,0.38802,0.0192,0.0235,771,0.00017174,671,0.00014933,0.1002,100,0.00032212,0.032212
153,0.13715,0.34872,0.39489,0.024,0.0235,801,0.00017083,701,0.00014803,0.10377,100,0.00033065,0.033065
154,0.14183,0.35463,0.40176,0.0288,0.0235,817,0.00017346,717,0.00015034,0.10779,100,0.00033929,0.033929
155,0.14665,0.36069,0.40863,0.0336,0.0235,845,0.00017316,745,0.00014967,0.11151,100,0.00034812,0.034812
156,0.15161,0.36689,0.41552,0.0384,0.0235,870,0.00017397,770,0.00015018,0.11564,100,0.00035715,0.035715
157,0.15678,0.37312,0.42273,0.0432,0.0235,886,0.00017675,786,0.00015261,0.11995,100,0.00036647,0.036647
158,0.16209,0.37953,0.42988,0.048,0.0235,912,0.00017742,812,0.00015297,0.12421,100,0.00037597,0.037597
159,0.16755,0.3861,0.43702,0.0528,0.0235,949,0.00017618,849,0.0001515,0.12862,100,0.00038569,0.038569
160,0.17316,0.39282,0.44418,0.0576,0.0235,972,0.00017783,872,0.00015285,0.13328,100,0.00039569,0.039569
161,0.17894,0.39969,0.45134,0.0624,0.0235,991,0.00018036,891,0.00015505,0.13815,100,0.00040583,0.040583
162,0.18488,0.40673,0.45852,0.0672,0.0235,1016,0.00018161,915,0.00015606,0.14279,101,0.0004131,0.041724
163,0.19108,0.41379,0.46605,0.072,0.0235,1039,0.00018359,938,0.00015773,0.14795,101,0.00042376,0.0428
164,0.19744,0.42104,0.47354,0.0768,0.0235,1058,0.0001864,825,0.00013378,0.11036,233,0.00037274,0.086848
165,0.20396,0.42841,0.48101,0.0816,0.0235,1084,0.00018786,851,0.00013445,0.11442,233,0.00038294,0.089225
166,0.21068,0.436,0.48849,0.0864,0.0235,1111,0.00018935,863,0.00013386,0.11553,248,0.00038245,0.094847
167,0.21758,0.44374,0.49597,0.0912,0.0235,1139,0.00019072,879,0.00013305,0.11695,260,0.00038568,0.10028
168,0.22469,0.45169,0.50345,0.096,0.0235,1176,0.00019066,903,0.00013146,0.11871,273,0.00038651,0.10552
169,0.232,0.45982,0.51095,0.1008,0.0235,1207,0.00019191,916,0.00012964,0.11875,291,0.00038792,0.11289
170,0.23963,0.46801,0.51882,0.1056,0.0235,1231,0.00019442,928,0.0001307,0.12129,303,0.00038956,0.11804
171,0.24744,0.47633,0.52668,0.1104,0.0235,1254,0.00019711,941,0.00013166,0.12389,313,0.00039386,0.12328
