"csvFile","Image1","Image2","Time1","Time2","BladeLength1","BladeLength2","BladeWidth1","BladeWidth2","Cell","IsMID","CentroX","CentroY","Area","karea","kx","ky","AreaAtDiv","Cell_Cycle_Duration","HasDivided","IsCompetent"
"tracking_TL02-TL09_all_divide_new.csv","ExpID3002_spch4_TL002_plantA_scalebar.png","ExpID3002_spch4_TL004_plantA_scalebar.png",10.7333333333333,24.3333333333333,230.893436348395,295.151960756285,134.563610186456,174.962762704451,"Cell 0",TRUE,-0.73766218,14.44449052,268.77458766948,0.0342851453386788,0.0167124263343576,0.0175776610300607,NA,NA,FALSE,TRUE
"tracking_TL02-TL09_all_divide_new.csv","ExpID3002_spch4_TL002_plantA_scalebar.png","ExpID3002_spch4_TL004_plantA_scalebar.png",10.7333333333333,24.3333333333333,230.893436348395,295.151960756285,134.563610186456,174.962762704451,"Cell 1",TRUE,-4.12401099,53.46278491,168.047964483914,0.0363448505837798,0.00885983751893299,0.0271000953242914,NA,NA,FALSE,TRUE
"tracking_TL02-TL09_all_divide_new.csv","ExpID3002_spch4_TL002_plantA_scalebar.png","ExpID3002_spch4_TL004_plantA_scalebar.png",10.7333333333333,24.3333333333333,230.893436348395,295.151960756285,134.563610186456,174.962762704451,"Cell 2",TRUE,6.25956396,66.98861206,199.832407202684,0.0395748114422185,0.0103019231088521,0.029346956249109,NA,NA,FALSE,TRUE
"tracking_TL02-TL09_all_divide_new.csv","ExpID3002_spch4_TL002_plantA_scalebar.png","ExpID3002_spch4_TL004_plantA_scalebar.png",10.7333333333333,24.3333333333333,230.893436348395,295.151960756285,134.563610186456,174.962762704451,"Cell 3",TRUE,-7.37557175,69.57431489,172.204509039902,0.0412978548880809,0.0124378885789422,0.0289967229296037,NA,NA,FALSE,TRUE
"tracking_TL02-TL09_all_divide_new.csv","ExpID3002_spch4_TL002_plantA_scalebar.png","ExpID3002_spch4_TL004_plantA_scalebar.png",10.7333333333333,24.3333333333333,230.893436348395,295.151960756285,134.563610186456,174.962762704451,"Cell 4",TRUE,3.57625763,81.02252303,206.270682265301,0.0378671861368804,0.0118574606443137,0.0258054284660655,NA,NA,FALSE,TRUE
"tracking_TL02-TL09_all_divide_new.csv","ExpID3002_spch4_TL002_plantA_scalebar.png","ExpID3002_spch4_TL004_plantA_scalebar.png",10.7333333333333,24.3333333333333,230.893436348395,295.151960756285,134.563610186456,174.962762704451,"Cell 5",TRUE,5.27545268,95.74295669,192.328152876551,0.0405419477628119,0.0128851482661563,0.0274172551339123,NA,NA,FALSE,TRUE
"tracking_TL02-TL09_all_divide_new.csv","ExpID3002_spch4_TL002_plantA_scalebar.png","ExpID3002_spch4_TL004_plantA_scalebar.png",10.7333333333333,24.3333333333333,230.893436348395,295.151960756285,134.563610186456,174.962762704451,"Cell 6",TRUE,-7.69241104,94.05092734,133.247100589579,0.0372582996271051,0.0116786188449747,0.025099493214036,NA,NA,FALSE,TRUE
"tracking_TL02-TL09_all_divide_new.csv","ExpID3002_spch4_TL002_plantA_scalebar.png","ExpID3002_spch4_TL004_plantA_scalebar.png",10.7333333333333,24.3333333333333,230.893436348395,295.151960756285,134.563610186456,174.962762704451,"Cell 7",FALSE,8.37399006,108.98214328,176.217155322212,0.0414012132074368,0.0139162803506586,0.0272790735344404,NA,NA,FALSE,TRUE
"tracking_TL02-TL09_all_divide_new.csv","ExpID3002_spch4_TL002_plantA_scalebar.png","ExpID3002_spch4_TL004_plantA_scalebar.png",10.7333333333333,24.3333333333333,230.893436348395,295.151960756285,134.563610186456,174.962762704451,"Cell 8",FALSE,-6.44350781,105.81216239,177.711790037339,0.042118031044304,0.0144943302794913,0.0276708020016756,NA,NA,FALSE,FALSE
"tracking_TL02-TL09_all_divide_new.csv","ExpID3002_spch4_TL002_plantA_scalebar.png","ExpID3002_spch4_TL004_plantA_scalebar.png",10.7333333333333,24.3333333333333,230.893436348395,295.151960756285,134.563610186456,174.962762704451,"Cell 9",FALSE,-7.57025091,115.98753902,135.958739401096,0.0500927206148333,0.0184104963504706,0.0310666408937186,NA,NA,FALSE,FALSE
"tracking_TL02-TL09_all_divide_new.csv","ExpID3002_spch4_TL002_plantA_scalebar.png","ExpID3002_spch4_TL004_plantA_scalebar.png",10.7333333333333,24.3333333333333,230.893436348395,295.151960756285,134.563610186456,174.962762704451,"Cell 10",FALSE,8.26216311,121.14538663,180.499312840067,0.0403630347027479,0.01560021473239,0.0247314663452135,NA,NA,FALSE,TRUE
"tracking_TL02-TL09_all_divide_new.csv","ExpID3002_spch4_TL002_plantA_scalebar.png","ExpID3002_spch4_TL004_plantA_scalebar.png",10.7333333333333,24.3333333333333,230.893436348395,295.151960756285,134.563610186456,174.962762704451,"Cell 11",FALSE,-3.42569295,126.13078461,107.7998865,0.0400382417246996,0.019282695841589,0.0203718005124462,NA,NA,FALSE,TRUE
"tracking_TL02-TL09_all_divide_new.csv","ExpID3002_spch4_TL002_plantA_scalebar.png","ExpID3002_spch4_TL004_plantA_scalebar.png",10.7333333333333,24.3333333333333,230.893436348395,295.151960756285,134.563610186456,174.962762704451,"Cell 12",FALSE,-12.04779454,129.4129146,141.95424178125,0.0344871695673829,0.0147427315240037,0.0194125603026211,NA,NA,FALSE,TRUE
