realtime,LeafArea,LeafWidth,LeafLength,late,plam,numberOfCells,meanCellArea,numberOfCellInCDIV,meanCellAreaInCDIV,cellAreaInCDIV,numberOfCellOutCDIV,meanCellAreaOutCDIV,cellAreaOutCDIV
118,0.010068,0.098631,0.10033,0,0.0235,128,7.8801e-05,77,8.2221e-05,0.006331,51,7.3637e-05,0.0037555
119,0.010177,0.099151,0.10089,0,0.0235,128,7.9666e-05,77,8.3265e-05,0.0064114,51,7.4234e-05,0.0037859
120,0.010289,0.099671,0.10146,0,0.0235,128,8.0539e-05,77,8.4314e-05,0.0064921,51,7.4839e-05,0.0038168
121,0.010401,0.10019,0.10204,0,0.0235,128,8.1416e-05,77,8.5369e-05,0.0065734,51,7.5447e-05,0.0038478
122,0.010515,0.10072,0.10262,0,0.0235,128,8.2307e-05,77,8.6444e-05,0.0066562,51,7.6062e-05,0.0038791
123,0.010629,0.10125,0.1032,0,0.0235,128,8.3204e-05,77,8.7526e-05,0.0067395,51,7.6679e-05,0.0039106
124,0.010746,0.10179,0.10379,0,0.0235,128,8.4118e-05,77,8.863e-05,0.0068245,51,7.7304e-05,0.0039425
125,0.010863,0.10232,0.10438,0,0.0235,129,8.436e-05,78,8.8563e-05,0.0069079,51,7.7933e-05,0.0039746
126,0.010982,0.10286,0.10497,0,0.0235,129,8.5302e-05,78,8.9706e-05,0.0069971,51,7.8567e-05,0.0040069
127,0.011102,0.10341,0.10556,0,0.0235,129,8.6233e-05,78,9.0828e-05,0.0070846,51,7.9205e-05,0.0040395
128,0.011224,0.10395,0.10617,0,0.0235,129,8.7182e-05,78,9.1975e-05,0.007174,51,7.9853e-05,0.0040725
129,0.011347,0.1045,0.10677,0,0.0235,129,8.8137e-05,78,9.3129e-05,0.007264,51,8.0504e-05,0.0041057
130,0.011472,0.10506,0.10738,0,0.0235,129,8.9106e-05,78,9.4301e-05,0.0073555,51,8.1161e-05,0.0041392
131,0.011597,0.10562,0.10799,0,0.0235,129,9.0081e-05,78,9.5482e-05,0.0074476,51,8.1821e-05,0.0041729
132,0.011725,0.10618,0.10861,0,0.0235,130,9.0345e-05,79,9.5414e-05,0.0075377,51,8.2491e-05,0.0042071
133,0.011854,0.10674,0.10923,0,0.0235,131,9.0657e-05,80,9.5433e-05,0.0076347,51,8.3165e-05,0.0042414
134,0.011984,0.10731,0.10985,0,0.0235,131,9.1676e-05,80,9.6668e-05,0.0077335,51,8.3845e-05,0.0042761
135,0.012116,0.10788,0.11048,0,0.0235,131,9.2681e-05,80,9.7879e-05,0.0078304,51,8.4528e-05,0.0043109
136,0.01225,0.10845,0.11111,0,0.0235,131,9.3707e-05,80,9.9118e-05,0.0079294,51,8.522e-05,0.0043462
137,0.012385,0.10903,0.11175,0,0.0235,131,9.4739e-05,80,0.00010036,0.0080291,51,8.5916e-05,0.0043817
138,0.012521,0.1096,0.11239,0,0.0235,132,9.4989e-05,81,0.00010026,0.0081212,51,8.6616e-05,0.0044174
139,0.012659,0.11019,0.11303,0,0.0235,132,9.6103e-05,81,0.00010163,0.0082321,51,8.7324e-05,0.0044535
140,0.012798,0.11078,0.11367,0,0.0235,132,9.7159e-05,81,0.0001029,0.0083352,51,8.8035e-05,0.0044898
141,0.01294,0.11137,0.11433,0,0.0235,132,9.8238e-05,81,0.00010421,0.0084406,51,8.8759e-05,0.0045267
142,0.013083,0.11196,0.11498,0,0.0235,133,9.856e-05,82,0.0001042,0.0085447,51,8.9486e-05,0.0045638
143,0.013228,0.11256,0.11564,0,0.0235,133,9.9675e-05,82,0.00010556,0.0086556,51,9.022e-05,0.0046012
144,0.013374,0.11316,0.1163,0,0.0235,133,0.00010077,82,0.00010688,0.0087642,51,9.0957e-05,0.0046388
145,0.013523,0.11377,0.11698,0,0.0235,133,0.0001019,82,0.00010823,0.0088752,51,9.1706e-05,0.004677
146,0.013672,0.11437,0.11765,0,0.0235,134,0.0001022,83,0.00010819,0.0089796,51,9.2458e-05,0.0047154
147,0.013824,0.11499,0.11833,0,0.0235,134,0.00010339,83,0.00010965,0.0091005,51,9.3217e-05,0.0047541
148,0.013977,0.11561,0.11901,0,0.0235,134,0.00010454,83,0.00011102,0.0092148,51,9.398e-05,0.004793
149,0.014133,0.11623,0.1197,0.0048,0.0235,135,0.0001049,83,0.00011123,0.0092323,52,9.479e-05,0.0049291
150,0.01429,0.11685,0.12039,0.0096,0.0235,135,0.00010609,83,0.00011265,0.0093503,52,9.56e-05,0.0049712
151,0.014448,0.11747,0.12108,0.0144,0.0235,135,0.00010726,83,0.00011407,0.0094678,52,9.6386e-05,0.0050121
152,0.014608,0.11811,0.12177,0.0192,0.0235,136,0.00010761,84,0.00011407,0.0095819,52,9.7177e-05,0.0050532
153,0.014769,0.11874,0.12246,0.024,0.0235,136,0.00010883,84,0.00011556,0.0097069,52,9.7973e-05,0.0050946
154,0.014931,0.11938,0.12315,0.0288,0.0235,136,0.00011003,84,0.000117,0.0098276,52,9.8772e-05,0.0051362
155,0.015094,0.12003,0.12384,0.0336,0.0235,137,0.00011041,85,0.00011703,0.0099477,52,9.9576e-05,0.0051779
156,0.015258,0.12068,0.12452,0.0384,0.0235,138,0.00011081,86,0.00011711,0.010071,52,0.00010038,0.00522
157,0.015424,0.12134,0.1252,0.0432,0.0235,138,0.00011202,86,0.00011856,0.010196,52,0.0001012,0.0052623
158,0.015591,0.122,0.12588,0.048,0.0235,138,0.00011323,86,0.00012001,0.010321,52,0.00010201,0.0053047
159,0.01576,0.12268,0.12655,0.0528,0.0235,139,0.00011363,87,0.00012007,0.010447,52,0.00010284,0.0053475
160,0.015929,0.12335,0.12722,0.0576,0.0235,140,0.000114,88,0.00012011,0.01057,52,0.00010366,0.0053905
161,0.0161,0.12403,0.12789,0.0624,0.0235,140,0.00011526,88,0.00012163,0.010703,52,0.00010449,0.0054337
162,0.016272,0.12473,0.12856,0.0672,0.0235,140,0.0001165,88,0.00012309,0.010832,52,0.00010533,0.0054771
163,0.016445,0.12542,0.12922,0.072,0.0235,140,0.00011774,88,0.00012457,0.010962,52,0.00010617,0.0055208
164,0.01662,0.12612,0.12989,0.0768,0.0235,141,0.00011814,60,0.00011982,0.0071893,81,0.00011689,0.0094677
165,0.016796,0.12682,0.13055,0.0816,0.0235,141,0.0001194,60,0.00012137,0.007282,81,0.00011793,0.0095527
166,0.016974,0.12754,0.1312,0.0864,0.0235,141,0.00012066,60,0.00012291,0.0073744,81,0.00011899,0.0096383
167,0.017152,0.12826,0.13186,0.0912,0.0235,142,0.00012105,61,0.00012238,0.0074654,81,0.00012005,0.0097243
168,0.017332,0.12898,0.13251,0.096,0.0235,142,0.00012234,61,0.00012396,0.0075613,81,0.00012112,0.0098107
169,0.017513,0.12971,0.13316,0.1008,0.0235,143,0.00012272,62,0.00012341,0.0076514,81,0.00012219,0.0098975
170,0.017696,0.13045,0.1338,0.1056,0.0235,143,0.00012404,62,0.00012503,0.0077521,81,0.00012327,0.009985
171,0.01788,0.1312,0.13445,0.1104,0.0235,144,0.00012441,63,0.00012447,0.0078418,81,0.00012436,0.010073
172,0.018066,0.13195,0.13508,0.1152,0.0235,144,0.00012575,63,0.00012613,0.0079465,81,0.00012545,0.010161
173,0.018253,0.13271,0.13572,0.12,0.0235,144,0.00012705,63,0.0001277,0.0080449,81,0.00012654,0.01025
174,0.018441,0.13347,0.13635,0.1248,0.0235,145,0.00012745,64,0.0001272,0.0081408,81,0.00012765,0.010339
175,0.018631,0.13425,0.13698,0.1296,0.0235,145,0.0001288,64,0.00012885,0.0082465,81,0.00012876,0.010429
176,0.018822,0.13503,0.13761,0.1344,0.0235,146,0.0001292,65,0.00012836,0.0083434,81,0.00012987,0.01052
177,0.019015,0.13582,0.13824,0.1392,0.0235,146,0.00013056,65,0.00013001,0.0084504,81,0.000131,0.010611
