csvFile,Image1,Image2,Time1,Time2,BladeLength1,BladeLength2,BladeWidth1,BladeWidth2,Cell,IsMID,CentroX,CentroY,Area,karea,kx,ky,AreaAtDiv,Cell_Cycle_Duration,HasDivided,IsCompetent,DivisionClass,CompetenceClass,Identity,StomatalLineage,WARNING_Imprecise_ID,WARNING_Imprecise_CCD,WARNING_Imprecise_AAD
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 30,FALSE,-11.77350785,152.5338488,274.38,0.034360501,0.011258201,0.023897444,NA,NA,FALSE,FALSE,NA,NA,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 49,FALSE,-21.36791349,144.152853,100.19,0.041560945,0.014581883,0.025151043,NA,NA,FALSE,FALSE,NA,NA,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 50,FALSE,-28.58417579,146.5593367,109.59,0.037670918,0.017988272,0.019894422,161.96112,NA,TRUE,TRUE,2,2,MMC_or_MM,TRUE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 51,FALSE,-25.08565829,132.4627585,139.89,0.03996718,0.012730133,0.026250871,199.757664,NA,TRUE,TRUE,2,2,MMC_or_MM,TRUE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 52,FALSE,-28.66603824,116.9765773,217.17,0.038173657,0.01239781,0.02562542,217.1660741,NA,TRUE,TRUE,1,2,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 77,TRUE,-27.08126027,80.07341761,118.38,0.028253019,0.006920871,0.022372937,151.844544,NA,TRUE,FALSE,1,NA,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 78,TRUE,-23.96753103,68.41655959,74.42,0.040984616,0.013167867,0.026804327,NA,NA,FALSE,TRUE,NA,1,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 79,TRUE,-18.59304326,56.40667895,210.71,0.035470509,0.006152481,0.029359213,251.2944,NA,TRUE,TRUE,1,1,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 80,TRUE,-20.13729089,84.29405275,102.92,0.040403129,0.009332051,0.029863233,NA,NA,FALSE,TRUE,NA,1,PC,FALSE,FALSE,FALSE,FALSE
tracking_samJan17.csv,TL01_median.png,TL09_T03_median_flip.png,0,11.8833,207.1054912,269.9435162,150.7484244,199.3647687,Cell 81,TRUE,-17.07798822,72.46489065,96.23,0.032878211,0.010299773,0.021934984,NA,NA,FALSE,FALSE,NA,NA,PC,FALSE,FALSE,FALSE,FALSE
