realtime,LeafArea,LeafWidth,LeafLength,late,plam,numberOfCells,meanCellArea,numberOfCellInCDIV,meanCellAreaInCDIV,cellAreaInCDIV,numberOfCellOutCDIV,meanCellAreaOutCDIV,cellAreaOutCDIV
66,0.0072216,0.084,0,0.0235,116,6.2366e-05,0,NaN,0,116,6.2366e-05,0.0072345
67,0.0072216,0.084,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
68,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
69,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
70,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
71,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
72,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
73,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
74,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
75,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
76,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
77,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
78,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
79,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
80,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
81,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
82,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
83,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
84,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
85,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
86,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
87,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
88,0.0074549,0.085299,0.085805,0,0.0235,119,6.272e-05,119,6.272e-05,0.0074637,0,NaN,0
89,0.0076953,0.086622,0.087227,0,0.0235,119,6.4784e-05,119,6.4784e-05,0.0077092,0,NaN,0
90,0.0079449,0.087963,0.08869,0,0.0235,119,6.6885e-05,119,6.6885e-05,0.0079593,0,NaN,0
91,0.0082031,0.089326,0.090181,0,0.0235,119,6.906e-05,119,6.906e-05,0.0082181,0,NaN,0
92,0.0084695,0.090718,0.091691,0,0.0235,122,6.9516e-05,122,6.9516e-05,0.008481,0,NaN,0
93,0.0087459,0.092132,0.093238,0,0.0235,122,7.182e-05,122,7.182e-05,0.008762,0,NaN,0
94,0.0090318,0.093569,0.094816,0,0.0235,123,7.3548e-05,123,7.3548e-05,0.0090464,0,NaN,0
95,0.0093272,0.095036,0.096419,0,0.0235,124,7.5344e-05,124,7.5344e-05,0.0093427,0,NaN,0
96,0.0096335,0.096526,0.098058,0,0.0235,126,7.6574e-05,126,7.6574e-05,0.0096483,0,NaN,0
97,0.0099492,0.098052,0.099709,0,0.0235,127,7.8471e-05,127,7.8471e-05,0.0099658,0,NaN,0
98,0.010277,0.099594,0.10141,0,0.0235,127,8.1075e-05,127,8.1075e-05,0.010297,0,NaN,0
99,0.010615,0.10118,0.10313,0,0.0235,132,8.0435e-05,132,8.0435e-05,0.010617,0,NaN,0
100,0.010966,0.10277,0.1049,0,0.0235,133,8.2585e-05,133,8.2585e-05,0.010984,0,NaN,0
101,0.011329,0.10441,0.10668,0,0.0235,133,8.534e-05,133,8.534e-05,0.01135,0,NaN,0
102,0.011705,0.10607,0.10852,0,0.0235,135,8.6844e-05,135,8.6844e-05,0.011724,0,NaN,0
103,0.012093,0.10777,0.11036,0,0.0235,138,8.7765e-05,138,8.7765e-05,0.012112,0,NaN,0
104,0.012497,0.10948,0.11227,0,0.0235,139,9.0037e-05,139,9.0037e-05,0.012515,0,NaN,0
105,0.012913,0.11124,0.11419,0,0.0235,142,9.1019e-05,142,9.1019e-05,0.012925,0,NaN,0
106,0.013345,0.11302,0.11617,0,0.0235,143,9.3444e-05,143,9.3444e-05,0.013362,0,NaN,0
107,0.013791,0.11485,0.11816,0,0.0235,144,9.5933e-05,144,9.5933e-05,0.013814,0,NaN,0
108,0.014255,0.11669,0.12022,0,0.0235,146,9.7768e-05,146,9.7768e-05,0.014274,0,NaN,0
109,0.014735,0.11857,0.12232,0,0.0235,149,9.8978e-05,149,9.8978e-05,0.014748,0,NaN,0
110,0.015232,0.12048,0.12447,0,0.0235,153,9.9591e-05,153,9.9591e-05,0.015237,0,NaN,0
111,0.015747,0.12243,0.12665,0,0.0235,161,9.7824e-05,161,9.7824e-05,0.01575,0,NaN,0
112,0.016278,0.12443,0.12884,0,0.0235,166,9.8128e-05,166,9.8128e-05,0.016289,0,NaN,0
113,0.016831,0.12645,0.13111,0,0.0235,174,9.6747e-05,174,9.6747e-05,0.016834,0,NaN,0
114,0.017401,0.12852,0.13339,0,0.0235,175,9.9588e-05,175,9.9588e-05,0.017428,0,NaN,0
115,0.017994,0.13062,0.13575,0,0.0235,184,9.7787e-05,184,9.7787e-05,0.017993,0,NaN,0
116,0.018608,0.13275,0.13816,0,0.0235,187,9.9648e-05,187,9.9648e-05,0.018634,0,NaN,0
117,0.019241,0.13494,0.14057,0,0.0235,188,0.00010252,188,0.00010252,0.019273,0,NaN,0
118,0.0199,0.13715,0.14308,0,0.0235,196,0.00010152,196,0.00010152,0.019899,0,NaN,0
119,0.02058,0.13942,0.14559,0,0.0235,202,0.00010194,202,0.00010194,0.020591,0,NaN,0
120,0.021288,0.14171,0.14819,0,0.0235,211,0.00010094,211,0.00010094,0.021298,0,NaN,0
121,0.022018,0.14406,0.1508,0,0.0235,219,0.00010061,219,0.00010061,0.022034,0,NaN,0
122,0.022778,0.14643,0.15351,0,0.0235,222,0.00010277,222,0.00010277,0.022815,0,NaN,0
123,0.023562,0.14887,0.15623,0,0.0235,234,0.00010063,156,0.00010105,0.015763,78,9.9804e-05,0.0077847
124,0.024379,0.15133,0.15905,0,0.0235,239,0.00010214,161,0.00010202,0.016425,78,0.00010239,0.0079867
125,0.02522,0.15385,0.16187,0,0.0235,244,0.00010351,165,0.00010284,0.016969,79,0.00010491,0.0082878
126,0.026098,0.1564,0.16481,0,0.0235,248,0.0001054,167,0.00010458,0.017466,81,0.00010708,0.0086731
127,0.027002,0.15902,0.16775,0,0.0235,254,0.00010644,172,0.00010513,0.018082,82,0.0001092,0.0089546
128,0.027944,0.16166,0.17082,0,0.0235,256,0.00010937,174,0.00010807,0.018804,82,0.00011215,0.009196
129,0.028916,0.16439,0.17388,0,0.0235,258,0.00011227,176,0.00011095,0.019527,82,0.0001151,0.0094384
130,0.029929,0.16714,0.17705,0,0.0235,261,0.00011484,179,0.00011333,0.020285,82,0.00011815,0.0096881
131,0.030974,0.16997,0.18023,0,0.0235,265,0.00011704,183,0.00011515,0.021072,82,0.00012127,0.009944
